Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,36
9/1/2026,enero,Nitrógeno envasadoras,"Aerobios mesófilos totales
(ufc/placa)",15,Fuera de límite,15,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Aire comprimido para sopletear/limpieza producción,"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Aire comprimido para sopletear/limpieza envasado,"Aerobios mesófilos totales
(ufc/placa)",9,Dentro de límite,9,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Nitrógeno envasadoras,"Hongos y Levaduras
(ufc/placa)",19,Fuera de límite,19,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Aire comprimido para sopletear/limpieza producción,"Hongos y Levaduras
(ufc/placa)",31,Fuera de límite,31,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Aire comprimido para sopletear/limpieza envasado,"Hongos y Levaduras
(ufc/placa)",50,Fuera de límite,50,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Nitrógeno envasadoras,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Aire comprimido para sopletear/limpieza producción,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Aire comprimido para sopletear/limpieza envasado,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Nitrógeno envasadoras,"Hongos y Levaduras
(ufc/placa)",15,Fuera de límite,15,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Aire comprimido para sopletear/limpieza producción,"Hongos y Levaduras
(ufc/placa)",82,Fuera de límite,82,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Aire comprimido para sopletear/limpieza envasado,"Hongos y Levaduras
(ufc/placa)",193,Fuera de límite,193,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Nitrógeno envasadoras,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Aire comprimido para sopletear/limpieza producción,"Aerobios mesófilos totales
(ufc/placa)",8,Dentro de límite,8,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Aire comprimido para sopletear/limpieza envasado,"Aerobios mesófilos totales
(ufc/placa)",7,Dentro de límite,7,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Nitrógeno envasadoras,"Hongos y Levaduras
(ufc/placa)",20,Fuera de límite,20,2026,Hongos y Levaduras (ufc/placa),,,,
