Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,72
9/1/2026,enero,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
9/1/2026,enero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",13,Dentro de límite,13,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",20,Dentro de límite,20,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",0,Dentro de límite,0,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",34,Dentro de límite,34,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",15,Dentro de límite,15,2026,Hongos y Levaduras (ufc/placa),,,,
9/1/2026,enero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",11,Dentro de límite,11,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",5,Dentro de límite,5,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
26/01/2026,enero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",69,Dentro de límite,69,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",87,Dentro de límite,87,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",40,Dentro de límite,40,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",82,Dentro de límite,82,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",49,Dentro de límite,49,2026,Hongos y Levaduras (ufc/placa),,,,
26/01/2026,enero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",39,Dentro de límite,39,2026,Hongos y Levaduras (ufc/placa),,,,
10/2/2026,febrero,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,0,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
10/2/2026,febrero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",1,Dentro de límite,1,2026,Aerobios mesófilos totales (ufc/placa),,,,
